"Site_ID/SSS","Initial_year","Diversity_metric_type","Measurement","Family","Genus","Species","Country","Latitude","Longitude","Habitat_description","Sampling_effort","Reference"
"1001","1997","Occurrence",1,"Canidae","Canis","lupus","USA",54.96667,-131.31667,"typical SE AK vegetation; bog in center of island; shoreline; forest",500,"Smith2001"
"1001","1997","Abundance",1,"Mustelidae","Neovison","vison","USA",54.96667,-131.31667,"typical SE AK vegetation; bog in center of island; shoreline; forest",500,"Smith2001"
"1001","1997","Occurrence",1,"Cervidae","Odocoileus","hemionus","USA",54.96667,-131.31667,"typical SE AK vegetation; bog in center of island; shoreline; forest",500,"Smith2001"
"1001","1997","Abundance",55,"Cricetidae","Peromyscus","keeni","USA",54.96667,-131.31667,"typical SE AK vegetation; bog in center of island; shoreline; forest",500,"Smith2001"
"1001","1997","Abundance",8,"Soricidae","Sorex","monticolus","USA",54.96667,-131.31667,"typical SE AK vegetation; bog in center of island; shoreline; forest",500,"Smith2001"
"1002","1997","Occurrence",1,"Castoridae","Castor","canadensis","USA",55.38333,-132.41667,"typical SE AK vegetation; shoreline; forest",500,"Smith2001"
"1002","1997","Abundance",1,"Mustelidae","Lontra","canadensis","USA",55.38333,-132.41667,"typical SE AK vegetation; shoreline; forest",500,"Smith2001"
"1002","1997","Abundance",1,"Cricetidae","Microtus","longicaudus","USA",55.38333,-132.41667,"typical SE AK vegetation; shoreline; forest",500,"Smith2001"
"1002","1997","Occurrence",1,"Cervidae","Odocoileus","hemionus","USA",55.38333,-132.41667,"typical SE AK vegetation; shoreline; forest",500,"Smith2001"
"1002","1997","Abundance",69,"Cricetidae","Peromyscus","keeni","USA",55.38333,-132.41667,"typical SE AK vegetation; shoreline; forest",500,"Smith2001"
"1002","1997","Abundance",21,"Soricidae","Sorex","monticolus","USA",55.38333,-132.41667,"typical SE AK vegetation; shoreline; forest",500,"Smith2001"
"1002","1997","Occurrence",1,"Ursidae","Ursus","americanus","USA",55.38333,-132.41667,"typical SE AK vegetation; shoreline; forest",500,"Smith2001"
"1003","1997","Occurrence",1,"Cervidae","Odocoileus","hemionus","USA",55.7,-132.71667,"riparian flood-plain spruce stands; upland evergreen forest; shoreline; forest",500,"Smith2001"
"1003","1997","Abundance",5,"Cricetidae","Peromyscus","keeni","USA",55.7,-132.71667,"riparian flood-plain spruce stands; upland evergreen forest; shoreline; forest",500,"Smith2001"
"1003","1997","Abundance",11,"Soricidae","Sorex","monticolus","USA",55.7,-132.71667,"riparian flood-plain spruce stands; upland evergreen forest; shoreline; forest",500,"Smith2001"
"1004","1997","Abundance",5,"Soricidae","Sorex","cinereus","USA",56.51667,-132.45,"loess soils; shoreline; forest",500,"Smith2001"
"1004","1997","Occurrence",1,"Ursidae","Ursus","spp.","USA",56.51667,-132.45,"loess soils; shoreline; forest",500,"Smith2001"
"1005","1997","Abundance",1,"Mustelidae","Lontra","canadensis","USA",57.41667,-133.93333,"forest; peatland; estuary; shoreline; forest",1000,"Smith2001"
"1005","1997","Occurrence",1,"Cervidae","Odocoileus","hemionus","USA",57.41667,-133.93333,"forest; peatland; estuary; shoreline; forest",1000,"Smith2001"
"1005","1997","Abundance",53,"Cricetidae","Peromyscus","keeni","USA",57.41667,-133.93333,"forest; peatland; estuary; shoreline; forest",1000,"Smith2001"
"1005","1997","Abundance",7,"Soricidae","Sorex","monticolus","USA",57.41667,-133.93333,"forest; peatland; estuary; shoreline; forest",1000,"Smith2001"
"1006","1997","Abundance",22,"Cricetidae","Myodes","rutilus","USA",57.21667,-133.48333,"cedar forest; shoreline; forest",500,"Smith2001"
"1006","1997","Occurrence",1,"Cervidae","Odocoileus","hemionus","USA",57.21667,-133.48333,"cedar forest; shoreline; forest",500,"Smith2001"
"1006","1997","Abundance",2,"Cricetidae","Peromyscus","keeni","USA",57.21667,-133.48333,"cedar forest; shoreline; forest",500,"Smith2001"
"1006","1997","Abundance",6,"Soricidae","Sorex","cinereus","USA",57.21667,-133.48333,"cedar forest; shoreline; forest",500,"Smith2001"
"1006","1997","Abundance",8,"Soricidae","Sorex","monticolus","USA",57.21667,-133.48333,"cedar forest; shoreline; forest",500,"Smith2001"
"1007","1997","Abundance",2,"Cricetidae","Microtus","longicaudus","USA",58.03333,-133.95,"forested; barren and estuary; typical mainland; shoreline; forest",500,"Smith2001"
"1007","1997","Abundance",8,"Cricetidae","Myodes","rutilus","USA",58.03333,-133.95,"forested; barren and estuary; typical mainland; shoreline; forest",500,"Smith2001"
"1007","1997","Abundance",1,"Mustelidae","Neovison","vison","USA",58.03333,-133.95,"forested; barren and estuary; typical mainland; shoreline; forest",500,"Smith2001"
"1007","1997","Occurrence",1,"Cervidae","Odocoileus","hemionus","USA",58.03333,-133.95,"forested; barren and estuary; typical mainland; shoreline; forest",500,"Smith2001"
"1007","1997","Abundance",35,"Cricetidae","Peromyscus","keeni","USA",58.03333,-133.95,"forested; barren and estuary; typical mainland; shoreline; forest",500,"Smith2001"
"1007","1997","Abundance",9,"Soricidae","Sorex","cinereus","USA",58.03333,-133.95,"forested; barren and estuary; typical mainland; shoreline; forest",500,"Smith2001"
"1007","1997","Abundance",3,"Soricidae","Sorex","monticolus","USA",58.03333,-133.95,"forested; barren and estuary; typical mainland; shoreline; forest",500,"Smith2001"
"1007","1997","Abundance",1,"Cricetidae","Synaptomys","borealis","USA",58.03333,-133.95,"forested; barren and estuary; typical mainland; shoreline; forest",500,"Smith2001"
"1008","2002","Abundance",22,"Heteromyidae","Chaetodipus","formosus","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",52,"Heteromyidae","Chaetodipus","penicillatus","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",4,"Heteromyidae","Chaetodipus","spp.","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",12,"Heteromyidae","Dipodomys","deserti","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",20,"Heteromyidae","Dipodomys","merriami","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",50,"Cricetidae","Neotoma","lepida","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",18,"Cricetidae","Peromyscus","boylii","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",79,"Cricetidae","Peromyscus","crinitus","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",59,"Cricetidae","Peromyscus","eremicus","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",5,"Heteromyidae","Perognathus","longimembris","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",78,"Cricetidae","Peromyscus","maniculatus","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",9,"Heteromyidae","Perognathus","parvus","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",6,"Cricetidae","Peromyscus","spp.","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",47,"Cricetidae","Peromyscus","truei","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1008","2002","Abundance",2,"Sciuridae","Tamias","panamintinus","USA",36.461944,-116.866667,"low elev. desert valley",2397,"Drost2008"
"1009","2002","Abundance",3,"Sciuridae","Ammospermophilus","leucurus","USA",33.837197,-115.952919,"Sonoran/Mojave desert vegetation",1492,"Drost2008"
"1009","2002","Abundance",16,"Heteromyidae","Chaetodipus","fallax","USA",33.837197,-115.952919,"Sonoran/Mojave desert vegetation",1492,"Drost2008"
"1009","2002","Abundance",3,"Heteromyidae","Chaetodipus","formosus","USA",33.837197,-115.952919,"Sonoran/Mojave desert vegetation",1492,"Drost2008"
