"Reference","Latitude","Longitude"
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6301176511,153.090810282
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6280352977,153.086004094
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6367350696,153.090714376
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.6391810266,153.076696869
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5512173893,153.17324552
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.5459876909,153.167980649
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.557585473,153.170459768
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5530431992,153.171485922
"Garden et al. 2010",-27.5494423572,153.177658877
"Garden et al. 2010",-27.5494423572,153.177658877
"Garden et al. 2010",-27.5494423572,153.177658877
"Garden et al. 2010",-27.5494423572,153.177658877
"Garden et al. 2010",-27.5494423572,153.177658877
"Garden et al. 2010",-27.5494423572,153.177658877
"Garden et al. 2010",-27.5494423572,153.177658877
"Garden et al. 2010",-27.5494423572,153.177658877
"Garden et al. 2010",-27.5494423572,153.177658877
"Garden et al. 2010",-27.5494423572,153.177658877
