SSS,Longitude,Latitude
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 1,153.0908103,-27.63011765
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 2,153.0860041,-27.6280353
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 3,153.0907144,-27.63673507
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 4,153.0766969,-27.63918103
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 5,153.1732455,-27.55121739
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 6,153.1679806,-27.54598769
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 7,153.1704598,-27.55758547
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 8,153.1714859,-27.5530432
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 9,153.1776589,-27.54944236
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 10,153.1792306,-27.55678901
DB1_2010__Garden 1 11,153.1539872,-27.53440307
DB1_2010__Garden 1 11,153.1539872,-27.53440307
DB1_2010__Garden 1 11,153.1539872,-27.53440307
DB1_2010__Garden 1 11,153.1539872,-27.53440307
DB1_2010__Garden 1 11,153.1539872,-27.53440307
DB1_2010__Garden 1 11,153.1539872,-27.53440307
DB1_2010__Garden 1 11,153.1539872,-27.53440307
DB1_2010__Garden 1 11,153.1539872,-27.53440307
DB1_2010__Garden 1 11,153.1539872,-27.53440307
